,Country,Wins,Gold,Silver,Bronze,Loss
246,Norway-1,0,0,0,0,7
247,Italy-1,11,6,4,1,41
248,Puerto Rico-2,0,0,0,0,2
249,Mound City Rowing Club-2,0,0,0,0,2
250,Timor Leste,0,0,0,0,3
251,Amolgavar,0,0,0,0,1
252,Congo (Kinshasa),0,0,0,0,17
253,Gabon,0,0,0,0,17
254,Ali-Baba II,1,1,0,0,2
255,May Be VII,0,0,0,0,1
256,East Germany-1,3,2,1,0,4
257,San Marino,0,0,0,0,54
258,Favorite Hammonia-3,1,1,0,0,2
259,Laos,0,0,0,0,8
260,Botswana,1,1,0,0,15
261,Refugee Olympic Athletes,0,0,0,0,6
262,Frankfurt Club,0,0,0,0,2
263,Lett,0,0,0,0,2
264,GyoshuII,0,0,0,0,1
265,North Korea,5,2,2,1,89
266,South Korea-2,1,1,0,0,1
267,Brazil-2,0,0,0,0,5
268,Solomon Islands,0,0,0,0,4
269,Dolfijn,0,0,0,0,2
270,Senegal,1,1,0,0,141
271,Cape Verde,0,0,0,0,7
272,Tip,0,0,0,0,2
273,Yugoslavia-1,0,0,0,0,1
274,rn-2,0,0,0,0,2
275,Crete,0,0,0,0,4
276,Breslau,0,0,0,0,1
277,Germany-3,0,0,0,0,8
278,Romania-2,0,0,0,0,13
279,Club Nautique de Dieppe-5,0,0,0,0,3
280,Norna,0,0,0,0,3
281,Fram,0,0,0,0,1
282,Magda IX,0,0,0,0,2
283,Soviet Union-3,0,0,0,0,7
284,Equatorial Guinea,0,0,0,0,11
285,Bolivia,0,0,0,0,56
286,Saar,0,0,0,0,20
287,Andorra,0,0,0,0,25
288,Japan-2,0,0,0,0,3
289,Austria-1,4,3,1,0,18
290,Austria-2,1,1,0,0,28
291,Antigua and Barbuda,0,0,0,0,33
292,EA II,0,0,0,0,2
293,Canada-3,0,0,0,0,9
294,Czechoslovakia-3,0,0,0,0,1
295,Linglom,0,0,0,0,3
296,Denmark-2,0,0,0,0,1
297,Mosk II,0,0,0,0,1
298,Latvia-2,0,0,0,0,10
299,Elisabeth X,0,0,0,0,1
300,Sweden-3,0,0,0,0,1
301,Ludwigshafener Ruderverein,0,0,0,0,1
302,Australia-2,0,0,0,0,9
303,Latvia-1,1,1,0,0,8
304,Guyoni,0,0,0,0,1
305,Greece-1,1,1,0,0,3
306,Greece-2,1,1,0,0,1
307,West Germany-2,0,0,0,0,6
308,"La Salle Turnverein, Chicago",0,0,0,0,1
309,Gallant,0,0,0,0,4
310,Zimbabwe,11,6,4,1,70
311,Grenada,0,0,0,0,9
312,Hera-1,0,0,0,0,6
313,Swedish Star,0,0,0,0,1
314,Bulgaria-1,0,0,0,0,1
315,Nautikos Omilos-3,0,0,0,0,2
316,Wolseley-Siddeley-1,0,0,0,0,2
317,Hong Kong,0,0,0,0,152
318,Ciocca II,0,0,0,0,4
319,Mirtala,0,0,0,0,1
320,Saint Lucia,0,0,0,0,7
321,Carabinier-5,0,0,0,0,1
322,Pettit-Poucet-6,0,0,0,0,1
323,Carabinier-15,0,0,0,0,1
324,Federated States of Micronesia,0,0,0,0,6
325,Myanmar,0,0,0,0,9
326,Hirondelle,0,0,0,0,2
327,Kerstin-1,0,0,0,0,1
328,Evita VI,0,0,0,0,1
329,Ukraine-2,0,0,0,0,7
330,Russia-3,0,0,0,0,5
331,Malawi,0,0,0,0,19
332,Belarus-1,0,0,0,0,1
333,United States-3,0,0,0,0,9
334,Bronia,0,0,0,0,1
335,Zambia,0,0,0,0,42
336,Denmark-1,0,0,0,0,1
337,Bluebottle,0,0,0,0,1
338,West Germany-1,6,4,2,0,7
339,Rhodesia,0,0,0,0,2
340,East Germany-2,2,1,1,0,6
341,Snap,0,0,0,0,3
342,Chinese Taipei-1,0,0,0,0,5
343,Sao Tome and Principe,0,0,0,0,6
